"custom_name","variable","label_2023","label_2024","exists_2023","exists_2024","label_changed"
"Total_Pop","S0101_C01_001","Estimate!!Total!!Total population","Estimate!!Total!!Total population",TRUE,TRUE,FALSE
"MedianAge","S0101_C01_032","Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years)","Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years)",TRUE,TRUE,FALSE
"TotalFB","B05002_013","Estimate!!Total:!!Foreign-born:","Estimate!!Total:!!Foreign-born:",TRUE,TRUE,FALSE
"TotalFBandNB","B05002_001","Estimate!!Total:","Estimate!!Total:",TRUE,TRUE,FALSE
"FB_cit_Europe","B05002_015","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Europe","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Europe",TRUE,TRUE,FALSE
"FB_cit_Asia","B05002_016","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Asia","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Asia",TRUE,TRUE,FALSE
"FB_cit_Africa","B05002_017","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Africa","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Africa",TRUE,TRUE,FALSE
"FB_cit_Oceania","B05002_018","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Oceania","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Oceania",TRUE,TRUE,FALSE
"FB_cit_LatinAmer","B05002_019","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Latin America","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Latin America",TRUE,TRUE,FALSE
"FB_cit_NorthAmer","B05002_020","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Northern America","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Northern America",TRUE,TRUE,FALSE
"FB_noncit_Europe","B05002_022","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Europe","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Europe",TRUE,TRUE,FALSE
"FB_noncit_Asia","B05002_023","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Asia","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Asia",TRUE,TRUE,FALSE
"FB_noncit_Africa","B05002_024","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Africa","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Africa",TRUE,TRUE,FALSE
"FB_noncit_Oceania","B05002_025","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Oceania","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Oceania",TRUE,TRUE,FALSE
"FB_noncit_LatinAmer","B05002_026","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Latin America","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Latin America",TRUE,TRUE,FALSE
"FB_noncit_NorthAmer","B05002_027","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Northern America","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Northern America",TRUE,TRUE,FALSE
"pct_veterans","S2101_C04_001","Estimate!!Percent Veterans!!Civilian population 18 years and over","Estimate!!Percent Veterans!!Civilian population 18 years and over",TRUE,TRUE,FALSE
"Perc65plus","S0101_C02_030","Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over","Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over",TRUE,TRUE,FALSE
"PercUnder18","S0101_C02_022","Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years","Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!Under 18 years",TRUE,TRUE,FALSE
"NHWhite","DP05_0096",NA,"Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone",FALSE,TRUE,FALSE
"NHBlack","DP05_0097",NA,"Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone",FALSE,TRUE,FALSE
"NH_AIAN","DP05_0098",NA,"Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone",FALSE,TRUE,FALSE
"NHAsian","DP05_0099",NA,"Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone",FALSE,TRUE,FALSE
"NH_NHPI","DP05_0100",NA,"Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone",FALSE,TRUE,FALSE
"NHOther","DP05_0101",NA,"Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some Other Race alone",FALSE,TRUE,FALSE
"NHMultiracial","DP05_0102",NA,"Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races",FALSE,TRUE,FALSE
"Hispanic","DP05_0090","Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races excluding Some Other Race, and three or more races","Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)",TRUE,TRUE,TRUE
"HispanicMexican","B03001_004","Estimate!!Total:!!Hispanic or Latino:!!Mexican","Estimate!!Total:!!Hispanic or Latino:!!Mexican",TRUE,TRUE,FALSE
"HispanicPuertoRican","B03001_005","Estimate!!Total:!!Hispanic or Latino:!!Puerto Rican","Estimate!!Total:!!Hispanic or Latino:!!Puerto Rican",TRUE,TRUE,FALSE
"HispanicCuban","B03001_006","Estimate!!Total:!!Hispanic or Latino:!!Cuban","Estimate!!Total:!!Hispanic or Latino:!!Cuban",TRUE,TRUE,FALSE
"HispanicDominican","B03001_007","Estimate!!Total:!!Hispanic or Latino:!!Dominican (Dominican Republic)","Estimate!!Total:!!Hispanic or Latino:!!Dominican (Dominican Republic)",TRUE,TRUE,FALSE
"HispanicCostaRican","B03001_009","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Costa Rican","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Costa Rican",TRUE,TRUE,FALSE
"HispanicGuatemalan","B03001_010","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Guatemalan","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Guatemalan",TRUE,TRUE,FALSE
"HispanicHonduran","B03001_011","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Honduran","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Honduran",TRUE,TRUE,FALSE
"HispanicNicaraguan","B03001_012","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Nicaraguan","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Nicaraguan",TRUE,TRUE,FALSE
"HispanicPanamanian","B03001_013","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Panamanian","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Panamanian",TRUE,TRUE,FALSE
"HispanicSalvadoran","B03001_014","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Salvadoran","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Salvadoran",TRUE,TRUE,FALSE
"HispanicOtherCentralAmerican","B03001_015","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Other Central American","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Other Central American",TRUE,TRUE,FALSE
"HispanicArgentinean","B03001_017","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Argentinean","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Argentinean",TRUE,TRUE,FALSE
"HispanicBolivian","B03001_018","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Bolivian","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Bolivian",TRUE,TRUE,FALSE
"HispanicChilean","B03001_019","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Chilean","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Chilean",TRUE,TRUE,FALSE
"HispanicColombian","B03001_020","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Colombian","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Colombian",TRUE,TRUE,FALSE
"HispanicEcuadorian","B03001_021","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Ecuadorian","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Ecuadorian",TRUE,TRUE,FALSE
"HispanicParaguayan","B03001_022","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Paraguayan","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Paraguayan",TRUE,TRUE,FALSE
"HispanicPeruvian","B03001_023","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Peruvian","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Peruvian",TRUE,TRUE,FALSE
"HispanicUruguayan","B03001_024","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Uruguayan","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Uruguayan",TRUE,TRUE,FALSE
"HispanicVenezuelan","B03001_025","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Venezuelan","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Venezuelan",TRUE,TRUE,FALSE
"HispanicOtherSouthAmerican","B03001_026","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Other South American","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Other South American",TRUE,TRUE,FALSE
"HispanicSpaniard","B03001_028","Estimate!!Total:!!Hispanic or Latino:!!Other Hispanic or Latino:!!Spaniard","Estimate!!Total:!!Hispanic or Latino:!!Other Hispanic or Latino:!!Spaniard",TRUE,TRUE,FALSE
"HispanicSpanish","B03001_029","Estimate!!Total:!!Hispanic or Latino:!!Other Hispanic or Latino:!!Spanish","Estimate!!Total:!!Hispanic or Latino:!!Other Hispanic or Latino:!!Spanish",TRUE,TRUE,FALSE
"HispanicSpanishAmerican","B03001_030","Estimate!!Total:!!Hispanic or Latino:!!Other Hispanic or Latino:!!Spanish American","Estimate!!Total:!!Hispanic or Latino:!!Other Hispanic or Latino:!!Spanish American",TRUE,TRUE,FALSE
"HispanicAllOtherHispanic","B03001_031","Estimate!!Total:!!Hispanic or Latino:!!Other Hispanic or Latino:!!All other Hispanic or Latino","Estimate!!Total:!!Hispanic or Latino:!!Other Hispanic or Latino:!!All other Hispanic or Latino",TRUE,TRUE,FALSE
"AsianIndian","C02015_002","Estimate!!Total:!!Asian Indian","Estimate!!Total:!!Asian Indian",TRUE,TRUE,FALSE
"Chinese","C02015_003","Estimate!!Total:!!Chinese","Estimate!!Total:!!Chinese",TRUE,TRUE,FALSE
"Filipino","C02015_004","Estimate!!Total:!!Filipino","Estimate!!Total:!!Filipino",TRUE,TRUE,FALSE
"Japanese","C02015_005","Estimate!!Total:!!Japanese","Estimate!!Total:!!Japanese",TRUE,TRUE,FALSE
"Korean","C02015_006","Estimate!!Total:!!Korean","Estimate!!Total:!!Korean",TRUE,TRUE,FALSE
"Vietnamese","C02015_007","Estimate!!Total:!!Vietnamese","Estimate!!Total:!!Vietnamese",TRUE,TRUE,FALSE
"OtherAsian","C02015_008","Estimate!!Total:!!Other Asian","Estimate!!Total:!!Other Asian",TRUE,TRUE,FALSE
"MaleUnder_5_years","S0101_C03_002","Estimate!!Male!!Total population!!AGE!!Under 5 years","Estimate!!Male!!Total population!!AGE!!Under 5 years",TRUE,TRUE,FALSE
"Male5_to_9_years","S0101_C03_003","Estimate!!Male!!Total population!!AGE!!5 to 9 years","Estimate!!Male!!Total population!!AGE!!5 to 9 years",TRUE,TRUE,FALSE
"Male10_to_14_years","S0101_C03_004","Estimate!!Male!!Total population!!AGE!!10 to 14 years","Estimate!!Male!!Total population!!AGE!!10 to 14 years",TRUE,TRUE,FALSE
"Male15_to_19_years","S0101_C03_005","Estimate!!Male!!Total population!!AGE!!15 to 19 years","Estimate!!Male!!Total population!!AGE!!15 to 19 years",TRUE,TRUE,FALSE
"Male20_to_24_years","S0101_C03_006","Estimate!!Male!!Total population!!AGE!!20 to 24 years","Estimate!!Male!!Total population!!AGE!!20 to 24 years",TRUE,TRUE,FALSE
"Male25_to_29_years","S0101_C03_007","Estimate!!Male!!Total population!!AGE!!25 to 29 years","Estimate!!Male!!Total population!!AGE!!25 to 29 years",TRUE,TRUE,FALSE
"Male30_to_34_years","S0101_C03_008","Estimate!!Male!!Total population!!AGE!!30 to 34 years","Estimate!!Male!!Total population!!AGE!!30 to 34 years",TRUE,TRUE,FALSE
"Male35_to_39_years","S0101_C03_009","Estimate!!Male!!Total population!!AGE!!35 to 39 years","Estimate!!Male!!Total population!!AGE!!35 to 39 years",TRUE,TRUE,FALSE
"Male40_to_44_years","S0101_C03_010","Estimate!!Male!!Total population!!AGE!!40 to 44 years","Estimate!!Male!!Total population!!AGE!!40 to 44 years",TRUE,TRUE,FALSE
"Male45_to_49_years","S0101_C03_011","Estimate!!Male!!Total population!!AGE!!45 to 49 years","Estimate!!Male!!Total population!!AGE!!45 to 49 years",TRUE,TRUE,FALSE
"Male50_to_54_years","S0101_C03_012","Estimate!!Male!!Total population!!AGE!!50 to 54 years","Estimate!!Male!!Total population!!AGE!!50 to 54 years",TRUE,TRUE,FALSE
"Male55_to_59_years","S0101_C03_013","Estimate!!Male!!Total population!!AGE!!55 to 59 years","Estimate!!Male!!Total population!!AGE!!55 to 59 years",TRUE,TRUE,FALSE
"Male60_to_64_years","S0101_C03_014","Estimate!!Male!!Total population!!AGE!!60 to 64 years","Estimate!!Male!!Total population!!AGE!!60 to 64 years",TRUE,TRUE,FALSE
