GEOID,NAME,Year,Age_Group,Male,Female
48453,"Travis County, Texas",2023,Under_5_yearsE,37588,35762
48453,"Travis County, Texas",2023,5_to_9_yearsE,35990,36646
48453,"Travis County, Texas",2023,10_to_14_yearsE,38126,32882
48453,"Travis County, Texas",2023,15_to_19_yearsE,41941,40083
48453,"Travis County, Texas",2023,20_to_24_yearsE,42326,41448
48453,"Travis County, Texas",2023,25_to_29_yearsE,64611,60548
48453,"Travis County, Texas",2023,30_to_34_yearsE,72050,63127
48453,"Travis County, Texas",2023,35_to_39_yearsE,69905,54606
48453,"Travis County, Texas",2023,40_to_44_yearsE,52181,52229
48453,"Travis County, Texas",2023,45_to_49_yearsE,45243,43600
48453,"Travis County, Texas",2023,50_to_54_yearsE,44778,40723
48453,"Travis County, Texas",2023,55_to_59_yearsE,36273,33944
48453,"Travis County, Texas",2023,60_to_64_yearsE,32232,33303
48453,"Travis County, Texas",2023,65_to_69_yearsE,23211,26757
48453,"Travis County, Texas",2023,70_to_74_yearsE,23048,23863
48453,"Travis County, Texas",2023,75_to_79_yearsE,13004,14567
48453,"Travis County, Texas",2023,80_to_84_yearsE,5838,9426
48453,"Travis County, Texas",2023,85_years_and_overE,5475,7627
4805000,"Austin city, Texas",2023,Under_5_yearsE,23840,25675
4805000,"Austin city, Texas",2023,5_to_9_yearsE,23919,23234
4805000,"Austin city, Texas",2023,10_to_14_yearsE,22838,20353
4805000,"Austin city, Texas",2023,15_to_19_yearsE,28185,29562
4805000,"Austin city, Texas",2023,20_to_24_yearsE,36646,37160
4805000,"Austin city, Texas",2023,25_to_29_yearsE,55919,52960
4805000,"Austin city, Texas",2023,30_to_34_yearsE,62896,49974
4805000,"Austin city, Texas",2023,35_to_39_yearsE,58229,41887
4805000,"Austin city, Texas",2023,40_to_44_yearsE,37559,36352
4805000,"Austin city, Texas",2023,45_to_49_yearsE,31505,27480
4805000,"Austin city, Texas",2023,50_to_54_yearsE,29663,29750
4805000,"Austin city, Texas",2023,55_to_59_yearsE,24997,23250
4805000,"Austin city, Texas",2023,60_to_64_yearsE,22778,22425
4805000,"Austin city, Texas",2023,65_to_69_yearsE,14535,17861
4805000,"Austin city, Texas",2023,70_to_74_yearsE,15111,14782
4805000,"Austin city, Texas",2023,75_to_79_yearsE,8102,9925
4805000,"Austin city, Texas",2023,80_to_84_yearsE,4488,7005
4805000,"Austin city, Texas",2023,85_years_and_overE,3723,5132
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,Under_5_yearsE,74143,66165
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,5_to_9_yearsE,72523,74191
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,10_to_14_yearsE,79388,70899
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,15_to_19_yearsE,82050,76616
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,20_to_24_yearsE,82955,82066
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,25_to_29_yearsE,102109,97193
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,30_to_34_yearsE,116105,107261
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,35_to_39_yearsE,116058,100433
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,40_to_44_yearsE,100843,95333
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,45_to_49_yearsE,83629,80432
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,50_to_54_yearsE,80866,75502
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,55_to_59_yearsE,64999,61715
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,60_to_64_yearsE,60988,64351
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,65_to_69_yearsE,45253,54638
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,70_to_74_yearsE,43603,45085
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,75_to_79_yearsE,26589,30427
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,80_to_84_yearsE,14263,18316
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2023,85_years_and_overE,9406,16882
