CouncilDistrict,Year,Age_Group,Male,Female
1,2023,Under_5_yearsE,3753.3,3166.18
1,2023,5_to_9_yearsE,3770.2200000000003,2799.49
1,2023,10_to_14_yearsE,3030.28,2477.54
1,2023,15_to_19_yearsE,2458.01,2568.61
1,2023,20_to_24_yearsE,2926.99,2545.8199999999997
1,2023,25_to_29_yearsE,5257.379999999999,5775.54
1,2023,30_to_34_yearsE,6873.0199999999995,5948.070000000001
1,2023,35_to_39_yearsE,6453.58,4773.81
1,2023,40_to_44_yearsE,3969.34,3613.38
1,2023,45_to_49_yearsE,3015.99,2711.57
1,2023,50_to_54_yearsE,2519.36,2358.78
1,2023,55_to_59_yearsE,2655.13,2283.39
1,2023,60_to_64_yearsE,2003.39,2551.8700000000003
1,2023,65_to_69_yearsE,1843.95,1872.4199999999998
1,2023,70_to_74_yearsE,924.55,1478.3899999999999
1,2023,75_to_79_yearsE,500.44,893.9499999999999
1,2023,80_to_84_yearsE,336.36,563.52
1,2023,85_years_and_overE,337.75,838.75
2,2023,Under_5_yearsE,2840.88,3382.79
2,2023,5_to_9_yearsE,3013.23,2705.69
2,2023,10_to_14_yearsE,3108.4399999999996,3132.23
2,2023,15_to_19_yearsE,2247.42,2500.24
2,2023,20_to_24_yearsE,3417.53,2873.96
2,2023,25_to_29_yearsE,4938.860000000001,5330.450000000001
2,2023,30_to_34_yearsE,5321.39,5023.17
2,2023,35_to_39_yearsE,5102.889999999999,4339.23
2,2023,40_to_44_yearsE,4166.530000000001,3722.0800000000004
2,2023,45_to_49_yearsE,3617.2200000000003,3377.55
2,2023,50_to_54_yearsE,2906.88,2605.7099999999996
2,2023,55_to_59_yearsE,2851.29,2261.3
2,2023,60_to_64_yearsE,2379.25,2342.6800000000003
2,2023,65_to_69_yearsE,1965.3400000000001,1724.6
2,2023,70_to_74_yearsE,908.33,1666.3200000000002
2,2023,75_to_79_yearsE,531.49,825.9
2,2023,80_to_84_yearsE,468.43999999999994,350.35
2,2023,85_years_and_overE,85.94,322.62
3,2023,Under_5_yearsE,1670.52,2184.56
