CouncilDistrict,HHLess10kE,HH10kto14999E,HH15kto19999E,HH20kto24999E,HH25kto29999E,HH30kto34999E,HH35kto39999E,HH40kto44999E,HH45kto49999E,HH50kto59999E,HH60kto74999E,HH75kto99999E,HH100kto124999E,HH125kto149999E,HH150kto199999E,HH200kmoreE,FamLess10kE,Fam10kto14999E,Fam15kto19999E,Fam20kto24999E,Fam25kto29999E,Fam30kto34999E,Fam35kto39999E,Fam40kto44999E,Fam45kto49999E,Fam50kto59999E,Fam60kto74999E,Fam75kto99999E,Fam100kto124999E,Fam125kto149999E,Fam150kto199999E,Fam200kmoreE,TotalUnder_5_yearsE,Total5_to_9_yearsE,Total10_to_14_yearsE,Total15_to_19_yearsE,Total20_to_24_yearsE,Total25_to_29_yearsE,Total30_to_34_yearsE,Total35_to_39_yearsE,Total40_to_44_yearsE,Total45_to_49_yearsE,Total50_to_54_yearsE,Total55_to_59_yearsE,Total60_to_64_yearsE,Total65_to_69_yearsE,Total70_to_74_yearsE,Total75_to_79_yearsE,Total80_to_84_yearsE,Total85_years_and_overE,CommuteLess10minE,Commute10to14E,Commute15to19E,Commute20to24E,Commute25to29E,Commute30to34E,Commute35to44E,Commute45to59E,Commute60moreE
1,1961.29,1321.32,994.8000000000001,1446.6100000000001,1347.53,1273.87,1271.9,1040.8700000000001,1527.47,2009.9,3649.79,4966.43,4459.65,3275.9100000000003,5248.530000000001,5147.17,622.96,388.14000000000004,534.61,681.41,967.78,766.74,759.15,406.84,587,1106.9,2113.71,2725.2799999999997,2635.61,1733.5900000000001,3197.24,3464.69,6919.48,6569.71,5507.82,5026.62,5472.8099999999995,11032.919999999998,12821.09,11227.39,7582.72,5727.56,4878.14,4938.52,4555.26,3716.37,2402.94,1394.3899999999999,899.88,1176.5,2793.19,5456.389999999999,8778.1,8000.39,3400.46,7281.52,3006.53,2178.8,2943.79
2,1943.4699999999998,1001.83,629.4100000000001,854.98,1089.22,1079.1,1572.98,1287.46,1906.09,3381.96,3460.59,6491.71,4392.63,3158.15,4092.08,2719.76,1123.2099999999998,443.01,388.49,424.14,383.96,462.78999999999996,847.41,743.6,966.71,1620.92,2166.28,4143.91,2920.8,2052.94,2850.0299999999997,1869.0900000000001,6223.67,5718.92,6240.67,4747.66,6291.490000000001,10269.31,10344.560000000001,9442.119999999999,7888.61,6994.7699999999995,5512.59,5112.59,4721.93,3689.9399999999996,2574.65,1357.39,818.79,408.56,2319.5,4833.53,7572.96,6569.37,3266.11,10789.289999999999,3341.56,3901.06,3108.75
3,2884.0299999999997,1730.29,1247.8999999999999,1835.46,1498.9699999999998,1086.47,1642.5900000000001,1374.79,1632.9,2808.3100000000004,3678.73,5452.41,4624.4000000000005,2625.5400000000004,4583.92,5182.679999999999,794.15,365.48,663.87,587.21,611.59,388.91,434.84,324.34999999999997,467.89,674.03,1010.8499999999999,1794.36,1556.67,968.16,1789.98,2373.44,3855.08,4315.110000000001,2690.3199999999997,4181.58,9735.49,14370.800000000001,11922.97,9082.279999999999,6130.1,4651.0599999999995,3474.5099999999998,4270.99,3446.75,1614.22,1340.1,1308.03,438.3,652.31,5193.17,7378.4800000000005,9760.050000000001,6861.38,2606.36,5636.91,2338.2799999999997,2111.14,1475.4099999999999
4,3513.98,1923.49,1704.95,1605.27,1535.1799999999998,1304.73,2204.51,1826.8799999999999,1330.69,3670.77,3914.93,4525.21,3453.3599999999997,2166.23,2860.06,3006.2599999999998,1492.0800000000002,1015.21,778.61,623.98,846.85,425.39,1144.75,823.8900000000001,973.8299999999999,2032.1699999999998,1888.5,2172.03,1788.34,1544.17,1458.03,1551.1999999999998,6250.78,5908.13,6020.14,6079,6900.0999999999995,9089.41,10978.09,8879.779999999999,7916.76,5226.41,5088.8,4662.5199999999995,3628.19,3481.95,2839.71,957.79,716.97,1062.09,3160.86,6604.0199999999995,7353.7,7377.58,2429.92,6392.03,1756.1799999999998,2029.46,3123.8799999999997
5,2130.85,1038.1599999999999,856.79,905.88,998.4300000000001,715.36,1120.48,1810.45,1364.93,3108.23,4208.78,5848.96,4999.15,4133.83,6248.759999999999,7405.12,605.42,230.92000000000002,243.48,383.63,382.88,268.46,383.87999999999994,465.84,782.91,716.46,1435.5,2649.71,2505.88,2373.05,4214.96,4767.14,5981.76,4010.36,3548.73,3239.46,5111.37,10747.49,12317.99,9508.1,8361.15,6940.75,5171.59,4647.160000000001,5023.99,4140.57,3010.52,2141.61,1153.61,1025.31,2364.31,4049.43,7403.25,7600.24,3330.06,8027.97,3056.71,4117.259999999999,2035.95
6,1059.58,516.23,1053.3400000000001,950.44,860.92,780.6800000000001,650.77,1608.49,985.6400000000001,2546.8700000000003,3939.62,4893.86,4332.52,3245.65,5357.860000000001,9982.07,387.93,175.32000000000002,578.94,362.64,271.75,350.66,285.46999999999997,431.65000000000003,403.65000000000003,996.9100000000001,1663.14,2064.83,1992.5600000000002,2412.7400000000002,4483.91,8779,4863,7020.3,6112.790000000001,4464.49,4852.7,9434.1,9525.189999999999,8778.79,8931.38,7681.63,6318.71,5166.61,4564.1500000000005,3873.12,2890.01,1984.82,1160.51,911.48,4120.87,4784.63,6503.29,7029.62,3000.59,6311.89,2560.98,3638.84,2442.86
7,1924.58,894.38,1207.23,833.91,1070.96,1478.35,1111.2900000000002,1225.42,1559.49,3524.04,5741.82,7699.08,5749.41,3243.44,5483.71,7348.26,220.07000000000002,194.28000000000003,380.29,204.09,275.76,351.74,275.44,294.11,365.57,951.8900000000001,1699.16,2804.75,2256.56,1907.43,3381.61,5558.799999999999,4909.9000000000005,3825.69,3768.83,3877.89,6279.85,14273.85,13179.68,9852.96,7344.41,5914.69,5884.04,4835.58,4386.860000000001,3171.95,2656.8199999999997,1309.47,981.56,1431.6499999999999,5534.04,6606.4,9620.7,7612.22,3275.93,5460.25,2245.1200000000003,1911.28,1721.41
8,1157.11,544.13,461.13,530.51,302.25,430.25,915.61,599.12,821.75,1928.48,2508.56,5118.79,3840.45,3587.91,5356.9000000000005,12009.13,495.49,235.85,152.13,177.29,109.41,185.91,490.49,148.76,242.96,753.8499999999999,1138.46,1965.41,1904.62,2788.9100000000003,4082.42,10583.48,5170.429999999999,5971.72,6511.95,5411.78,3280.96,6364.92,7285.29,8235.619999999999,8272.67,7590.639999999999,7895.679999999999,5808.23,4727.44,4550.089999999999,3440.2,2314.21,989.21,918.83,2863.83,3784.91,6078.15,5890.73,3081.16,5923.85,2818.59,2435.2599999999998,1837.88
9,4476.330000000001,1638.14,927.72,1471.97,1252.44,1340.27,1317.43,1172.08,1368.25,1868.2,3670.38,4202.24,4099.87,3180.0699999999997,5036.41,9896.800000000001,317.59999999999997,35.410000000000004,236.73000000000002,107.13,118.58,284.34000000000003,103.77,145.6,169.61999999999998,191.3,607.98,816.05,1074.03,956.71,1759.46,5516.360000000001,2497.73,1694.54,1220.19,13153.91,17586.86,13627.91,11067.45,7483.6,4974.610000000001,4351.7,4313.71,3197.1099999999997,3154.26,2849.21,2127.09,1514.3000000000002,538.73,508,7041.69,7206.88,9220.16,6792.3099999999995,2301.27,3257.3900000000003,1081.99,1501.9399999999998,1336.94
10,1794.62,747.1899999999999,504.93,525.82,1214.7199999999998,908.21,1213.37,1519.4,1707.46,2538.2999999999997,3709.58,5316.84,4039.7,2937.25,5239.0599999999995,13910.050000000001,497.21,158.77,91.17999999999999,89.4,277.08,50.49,373.63,343.48999999999995,221.93,892.01,1092.6899999999998,2153.27,2166.22,1704.6100000000001,3489.18,11558.029999999999,4426.1900000000005,5530.41,5230.27,5045.33,6246.15,7595.82,8706.609999999999,7985.360000000001,7493.53,7124.56,7182.2699999999995,6219.09,6391.1900000000005,4689.13,4353.03,2564.5499999999997,1512.38,2287.52,4197.57,6697.86,7233.11,7272.56,3313.46,4788.77,2149.78,1622.26,709.25
